Change Physical Footprint: Designator=C0 Old Footprint=CAP-10 New Footprint=CAP-10
Change Physical Footprint: Designator=C1 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C2 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C3 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C4 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C5 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C6 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C7 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C8 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C9 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C10 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C11 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C12 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C13 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C14 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C15 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=C16 Old Footprint=C-0603 New Footprint=C-0603
Change Physical Footprint: Designator=D0 Old Footprint=DIODE-SMA/SMB New Footprint=DIODE-SMA/SMB
Change Physical Footprint: Designator=D2 Old Footprint=DIODE-1206 New Footprint=DIODE-1206
Change Physical Footprint: Designator=D3 Old Footprint=0603-1 New Footprint=0603-1
Change Physical Footprint: Designator=D4 Old Footprint=0603-1 New Footprint=0603-1
Change Physical Footprint: Designator=D5 Old Footprint=0603-1 New Footprint=0603-1
Change Physical Footprint: Designator=D6 Old Footprint=0603-1 New Footprint=0603-1
Change Physical Footprint: Designator=J1 Old Footprint=DC-005A New Footprint=DC-005A
Change Physical Footprint: Designator=LM1117-3.3 Old Footprint=lm1117 New Footprint=lm1117
Change Physical Footprint: Designator=LM1117-5 Old Footprint=lm1117 New Footprint=lm1117
Change Physical Footprint: Designator=P1 Old Footprint=HDR2X3 New Footprint=HDR2X3
Change Physical Footprint: Designator=P2 Old Footprint=USB_MICRO New Footprint=USB_MICRO
Change Physical Footprint: Designator=P3 Old Footprint=JTAG New Footprint=JTAG
Change Physical Footprint: Designator=P4 Old Footprint=HDR1X5 New Footprint=HDR1X5
Change Physical Footprint: Designator=R1 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R10 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R11 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R12 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R13 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R14 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R15 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R16 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R17 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R18 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R19 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R20 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R21 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R22 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R23 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R24 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R25 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R26 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=R27 Old Footprint=R-0603 New Footprint=R-0603
Change Physical Footprint: Designator=S1 Old Footprint=SW3P New Footprint=SW3P
Change Physical Footprint: Designator=S2 Old Footprint=SW-2 New Footprint=SW-2
Change Physical Footprint: Designator=S3 Old Footprint=SW-2 New Footprint=SW-2
Change Physical Footprint: Designator=S4 Old Footprint=SW-2 New Footprint=SW-2
Change Physical Footprint: Designator=S5 Old Footprint=SW-2 New Footprint=SW-2
Change Physical Footprint: Designator=S6 Old Footprint=SW-2 New Footprint=SW-2
Change Physical Footprint: Designator=U1 Old Footprint=74lvc245 New Footprint=74lvc245
Change Physical Footprint: Designator=U2 Old Footprint=STM-LQFP144_N New Footprint=STM-LQFP144_N
Change Physical Footprint: Designator=XTAL1 Old Footprint=XTAL-QC49/SMD New Footprint=XTAL-QC49/SMD
